id,stateAbbr,stateName,peoplePerHousehold2013,peoplePerHousehold2014
0,US,United States,2.65,2.64
1,AL,Alabama,2.57,2.55
2,AK,Alaska,2.84,2.83
4,AZ,Arizona,2.71,2.69
5,AR,Arkansas,2.53,2.53
6,CA,California,2.97,2.95
8,CO,Colorado,2.57,2.56
9,CT,Connecticut,2.59,2.56
10,DE,Delaware,2.61,2.61
11,DC,District of Columbia,2.24,2.51
12,FL,Florida,2.66,2.24
13,GA,Georgia,2.72,2.64
15,HI,Hawaii,3.11,2.72
16,ID,Idaho,2.72,3.03
17,IL,Illinois,2.62,2.69
18,IN,Indiana,2.56,2.61
19,IA,Iowa,2.42,2.55
20,KS,Kansas,2.55,2.42
21,KY,Kentucky,2.5,2.53
22,LA,Louisiana,2.61,2.49
23,ME,Maine,2.37,2.61
24,MD,Maryland,2.69,2.35
25,MA,Massachusetts,2.56,2.67
26,MI,Michigan,2.51,2.54
27,MN,Minnesota,2.49,2.51
28,MS,Mississippi,2.62,2.49
29,MO,Missouri,2.49,2.63
30,MT,Montana,2.42,2.48
31,NE,Nebraska,2.48,2.41
32,NV,Nevada,2.74,2.47
33,NH,New Hampshire,2.49,2.72
34,NJ,New Jersey,2.75,2.47
35,NM,New Mexico,2.68,2.73
36,NY,New York,2.66,2.67
37,NC,North Carolina,2.55,2.63
38,ND,North Dakota,2.33,2.54
39,OH,Ohio,2.45,2.33
40,OK,Oklahoma,2.59,2.45
41,OR,Oregon,2.54,2.58
42,PA,Pennsylvania,2.5,2.52
44,RI,Rhode Island,2.49,2.49
45,SC,South Carolina,2.56,2.47
46,SD,South Dakota,2.43,2.55
47,TN,Tennessee,2.55,2.45
48,TX,Texas,2.85,2.54
49,UT,Utah,3.17,2.84
50,VT,Vermont,2.36,3.16
51,VA,Virginia,2.62,2.34
53,WA,Washington,2.58,2.61
54,WV,West Virginia,2.44,2.57
55,WI,Wisconsin,2.42,2.43
56,WY,Wyoming,2.5,2.43
