id,stateAbbr,stateName,incomeTaxRate,incomeGreaterThan,incomeNotGreaterThan
1,AL,Alabama,0.02,0,500
1,AL,Alabama,0.04,500,3000
1,AL,Alabama,0.05,3000,
2,AK,Alaska,None,,
4,AZ,Arizona,0.0259,0,10179
4,AZ,Arizona,0.0288,10179,25445
4,AZ,Arizona,0.0336,25445,50890
4,AZ,Arizona,0.0424,50890,152668
4,AZ,Arizona,0.0454,152668,
5,AR,Arkansas,0.009,0,4299
5,AR,Arkansas,0.025,4299,8500
5,AR,Arkansas,0.035,8500,12699
5,AR,Arkansas,0.045,12699,21199
5,AR,Arkansas,0.06,21199,35100
5,AR,Arkansas,0.069,35100,
6,CA,California,0.01,0,8015
6,CA,California,0.02,8015,19001
6,CA,California,0.04,19001,29989
6,CA,California,0.06,29989,41629
6,CA,California,0.08,41629,52612
6,CA,California,0.093,52612,268750
6,CA,California,0.103,268750,322499
6,CA,California,0.113,322499,537498
6,CA,California,0.123,537498,1000000
6,CA,California,0.133,1000000,
8,CO,Colorado,0.0463,0,
9,CT,Connecticut,0.03,0,10000
9,CT,Connecticut,0.05,10000,50000
9,CT,Connecticut,0.055,50000,100000
9,CT,Connecticut,0.06,100000,200000
9,CT,Connecticut,0.065,200000,250000
9,CT,Connecticut,0.069,250000,500000
9,CT,Connecticut,0.0699,500000,2000
10,DE,Delaware,0.022,2000,5000
10,DE,Delaware,0.039,5000,10000
10,DE,Delaware,0.048,10000,20000
10,DE,Delaware,0.052,20000,25000
10,DE,Delaware,0.0555,25000,60000
10,DE,Delaware,0.066,60000,
11,DC,District of Columbia,0.04,0,10000
11,DC,District of Columbia,0.06,10000,40000
11,DC,District of Columbia,0.065,40000,60000
11,DC,District of Columbia,0.085,60000,350000
11,DC,District of Columbia,0.0875,350000,1000000
12,DC,District of Columbia,0.0895,1000000,
12,FL,Florida,None,,
13,GA,Georgia,0.01,0,750
13,GA,Georgia,0.02,750,2250
13,GA,Georgia,0.03,2250,3750
13,GA,Georgia,0.04,3750,5250
13,GA,Georgia,0.05,5250,7000
13,GA,Georgia,0.06,7000,
15,HI,Hawaii,0.014,0,2400
15,HI,Hawaii,0.032,2400,4800
15,HI,Hawaii,0.055,4800,9600
15,HI,Hawaii,0.064,9600,14400
15,HI,Hawaii,0.068,14400,19200
15,HI,Hawaii,0.072,19200,24000
15,HI,Hawaii,0.076,24000,36000
15,HI,Hawaii,0.079,36000,48000
15,HI,Hawaii,0.0825,48000,
16,ID,Idaho,0.016,0,1454
16,ID,Idaho,0.036,1454,2908
16,ID,Idaho,0.041,2908,4362
16,ID,Idaho,0.051,4362,5816
16,ID,Idaho,0.061,5816,7270
16,ID,Idaho,0.071,7270,10905
16,ID,Idaho,0.074,10905,
17,IL,Illinois,0.0495,0,
18,IN,Indiana,0.0323,0,
19,IA,Iowa,0.0036,0,1573
19,IA,Iowa,0.0072,1573,3146
19,IA,Iowa,0.0243,3146,6292
19,IA,Iowa,0.045,6292,14157
19,IA,Iowa,0.0612,14157,23595
19,IA,Iowa,0.0648,23595,31460
19,IA,Iowa,0.068,31460,47190
19,IA,Iowa,0.0792,47190,70785
19,IA,Iowa,0.0898,70785,
20,KS,Kansas,0.029,0,15000
20,KS,Kansas,0.049,15000,30000
20,KS,Kansas,0.52,30000,
21,KY,Kentucky,0.02,0,3000
21,KY,Kentucky,0.03,3000,4000
21,KY,Kentucky,0.04,4000,5000
21,KY,Kentucky,0.05,5000,8000
21,KY,Kentucky,0.058,8000,75000
21,KY,Kentucky,0.06,75000,
22,LA,Louisiana,0.02,0,12500
22,LA,Louisiana,0.04,12500,50000
22,LA,Louisiana,0.06,50000,
23,ME,Maine,0.058,0,21050
23,ME,Maine,0.0675,21505,50000
23,ME,Maine,0.0715,50000,
24,MD,Maryland,0.02,0,1000
24,MD,Maryland,0.03,1000,2000
24,MD,Maryland,0.04,2000,3000
24,MD,Maryland,0.0475,3000,100000
24,MD,Maryland,0.05,100000,125000
24,MD,Maryland,0.0525,125000,150000
24,MD,Maryland,0.055,150000,250000
24,MD,Maryland,0.0575,250000,
25,MA,Massachusetts,0.051,0,
26,MI,Michigan,0.0425,0,
27,MN,Minnesota,0.0535,0,25390
27,MN,Minnesota,0.0705,25390,83400
27,MN,Minnesota,0.0785,83400,156911
27,MN,Minnesota,0.0985,156911,
28,MS,Mississippi,0.03,0,5000
28,MS,Mississippi,0.04,5000,10000
28,MS,Mississippi,0.05,10000,
29,MO,Missouri,0.015,0,1008
29,MO,Missouri,0.02,1008,2016
29,MO,Missouri,0.025,2016,3024
29,MO,Missouri,0.03,3024,4032
29,MO,Missouri,0.035,4032,5040
29,MO,Missouri,0.04,5040,6048
29,MO,Missouri,0.045,6048,7056
29,MO,Missouri,0.05,7056,8064
29,MO,Missouri,0.055,8064,9072
29,MO,Missouri,0.06,9072,
30,MT,Montana,0.01,0,2900
30,MT,Montana,0.02,2900,5200
30,MT,Montana,0.03,5200,7900
30,MT,Montana,0.04,7900,10600
30,MT,Montana,0.05,10600,13600
30,MT,Montana,0.06,13600,17600
30,MT,Montana,0.069,17600,
31,NE,Nebraska,0.0246,0,3090
31,NE,Nebraska,0.0351,3090,18510
31,NE,Nebraska,0.0501,18510,29830
31,NE,Nebraska,0.0684,29830,
32,NV,Nevada,0,0,
33,NH,New Hampshire,0.05,0,
34,NJ,New Jersey,0.014,0,20000
34,NJ,New Jersey,0.0175,20000,35000
34,NJ,New Jersey,0.035,35000,40000
34,NJ,New Jersey,0.05525,40000,75000
34,NJ,New Jersey,0.0637,75000,500000
34,NJ,New Jersey,0.0897,500000,
35,NM,New Mexico,0.017,0,5500
35,NM,New Mexico,0.032,5500,11000
35,NM,New Mexico,0.047,11000,16000
35,NM,New Mexico,0.049,16000,
36,NY,New York,0.04,0,8500
